ID_Vereador;Texto;DataEncerramento;Tipo_Ação
38;Criou o projeto de ementa que: ''DISPOE SOBRE ADEQUACAO DA APOSENTADORIA ESPECIAL DOS PROFESSORES READAPTADOS AOS TERMOS DA LEI 11.301, DE 2006'' que foi encerrado, por motivo de ilegalidade (art. 79 reg. int.).;07/02/2011;Projeto
51;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
34;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
40;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
21;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
133;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
5;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
1;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
45;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
20;Criou o projeto de ementa que: ''ACRESCENTA DISPOSITIVO A LEI ORGANICA DO MUNICIPIO DA CIDADE DE SAO PAULO, PARA INSTITUIR NA LEI ORGANICA DO MUNICIPIO, O FICHA LIMPA MUNICIPAL, VEDANDO A DESIGNACAO OU NOMEACAO AOS CARGOS DA ADMINISTRACAO MUNICIPAL, E DA OUTRAS PROVIDENCIAS.'' que foi encerrado, pois foi promulgado.;20/03/2011;Projeto
