ID;NomeParlamentar;Partido;Foto
1;Arselino Tatto;PT;http://www1.camara.sp.gov.br/imgs/fotos/Tatto.jpg
10;Marta Costa;PSD;http://www1.camara.sp.gov.br/imgs/fotos/MartaCosta2010.JPG
11;José Police Neto;PSD;http://www1.camara.sp.gov.br/imgs/fotos/netinho.jpg
112;Marco Aurélio Cunha;PSD;http://www1.camara.sp.gov.br/imgs/fotos/marco_aurelio_cunha.jpg
113;Juliana Cardoso;PT;http://www1.camara.sp.gov.br/imgs/fotos/juliana_cardoso.jpg
114;Jamil Murad;PCdoB;http://www1.camara.sp.gov.br/imgs/fotos/jamil_murad.jpg
115;Sandra Tadeu;DEM;http://www1.camara.sp.gov.br/imgs/fotos/sandra-tadeu.jpg
116;Netinho de Paula;PCdoB;http://www1.camara.sp.gov.br/imgs/fotos/netinho2.jpg
117;Ítalo Cardoso;PT;http://www1.camara.sp.gov.br/imgs/fotos/Italo-Cardoso.jpg
118;Floriano Pesaro;PSDB;http://www1.camara.sp.gov.br/imgs/fotos/Floriano_Pesaro.jpg
119;Alfredinho;PT;http://www1.camara.sp.gov.br/imgs/fotos/alfredinho.jpg
12;Dalton Silvano;PV;http://www1.camara.sp.gov.br/imgs/fotos/Dalton-Silvano-Site.jpg
121;Claudio Fonseca;PPS;http://www1.camara.sp.gov.br/imgs/fotos/claudiofonseca.jpg
122;Milton Ferreira;PSD;http://www1.camara.sp.gov.br/imgs/fotos/milton_ferreira.jpg
127;Souza Santos;PSD;http://www1.camara.sp.gov.br/imgs/fotos/souza_santos.jpg
128;Quito Formiga;PR;http://www1.camara.sp.gov.br/imgs/fotos/quito_formiga.jpg
13;Gilson Barreto;PSDB;http://www1.camara.sp.gov.br/imgs/fotos/foto_29.jpg
131;Edir Sales;PSD;http://www1.camara.sp.gov.br/imgs/fotos/edirsales.jpg
131;Marcos Cintra (PSD. Licenciado) - Supl. em exercício: Edir Sales (PSD);PSD;http://www1.camara.sp.gov.br/imgs/fotos/marcoscintra.jpg
132;David Soares;PSD;http://www1.camara.sp.gov.br/imgs/fotos/David-Soares.jpg
133;Aníbal de Freitas;PSDB;http://www1.camara.sp.gov.br/imgs/fotos/anibalfoto.jpg
15;José Américo;PT;http://www1.camara.sp.gov.br/imgs/fotos/jamerico.jpg
16;Donato;PT;http://www1.camara.sp.gov.br/imgs/fotos/donato.jpg
19;Toninho Paiva;PR;http://www1.camara.sp.gov.br/imgs/fotos/foto_15.jpg
20;Aurelio Miguel;PR;http://www1.camara.sp.gov.br/imgs/fotos/aureliomiguel2.jpg
21;Agnaldo Timóteo;PR;http://www1.camara.sp.gov.br/imgs/fotos/Agnaldo-Timoteo.jpg
