ID_Vereador;ID;Texto;Data;App
51;1;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
34;2;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
40;3;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
21;4;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
119;5;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
133;6;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
5;7;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
1;8;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
45;9;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
20;10;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
50;11;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
8;12;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
44;13;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
35;14;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
29;15;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
41;16;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
121;17;Votou contra para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
53;18;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
12;19;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
132;20;Não votou para a matéria de Suspenção por 3:00h da 315ª Sessão Extraordinária e não houve resultado definido da votação.;10/04/2012;1
